name,genre
&quot;Bungaku Shoujo&quot; Kyou no Oyatsu: Hatsukoi,"Comedy, Fantasy, School"
&quot;Bungaku Shoujo&quot; Memoire,"Drama, Romance, School"
&quot;Bungaku Shoujo&quot; Movie,"Drama, Mystery, Romance, School"
&quot;Eiji&quot;,"Comedy, Drama, Sports"
.hack//G.U. Returner,"Adventure, Drama, Fantasy, Game, Magic, Sci-Fi"
.hack//G.U. Trilogy,"Action, Fantasy, Game, Sci-Fi"
.hack//G.U. Trilogy: Parody Mode,"Comedy, Fantasy, Game, Parody, Sci-Fi"
.hack//Gift,"Comedy, Fantasy, Game"
.hack//Intermezzo,"Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi"
.hack//Liminality,"Game, Mystery, Sci-Fi"
.hack//Quantum,"Action, Adventure, Fantasy, Game, Sci-Fi"
.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,"Comedy, Game"
.hack//Roots,"Adventure, Drama, Fantasy, Game, Sci-Fi"
.hack//Sign,"Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi"
.hack//Tasogare no Udewa Densetsu,"Adventure, Comedy, Fantasy, Game, Sci-Fi, Shounen"
.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,"Adventure, Comedy, Fantasy, Game, Sci-Fi"
.hack//The Movie: Sekai no Mukou ni,"Action, Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi"
.hack//Unison,"Adventure, Comedy, Fantasy, Game, Magic, Sci-Fi"
.hack//Versus: The Thanatos Report,"Action, Game, Sci-Fi"
001,Comedy
009 Re:Cyborg,"Action, Adventure, Mecha, Sci-Fi"
009-1,"Action, Mecha, Sci-Fi, Seinen"
009-1: R&amp;B,"Action, Sci-Fi, Seinen"
00:08,Dementia
07-Ghost,"Action, Demons, Fantasy, Magic, Military, Shoujo"
1+2=Paradise,"Comedy, Ecchi, Harem, Romance, Seinen"
100%,Drama
100-man-nen Chikyuu no Tabi: Bander Book,Sci-Fi
1000-nen Joou: Queen Millennia,"Adventure, Drama, Fantasy, Sci-Fi"
1001 Nights,"Demons, Fantasy, Romance, Seinen"
11-nin Iru!,"Action, Adventure, Drama, Mystery, Romance, Sci-Fi, Shoujo, Space"
11eyes,"Action, Ecchi, Super Power, Supernatural"
11eyes Picture Drama,Comedy
11eyes: Momoiro Genmutan,"Comedy, Ecchi, Super Power, Supernatural"
12-sai.,"Romance, School, Shoujo"
12-sai.: Chicchana Mune no Tokimeki,"Romance, School, Shoujo"
15 Bishoujo Hyouryuuki,"Comedy, Harem, Hentai"
1989,"Music, Space"
20-dai no Heya-hen,Slice of Life
2005-nen Uchuu no Tabi,"Dementia, Sci-Fi, Space"
21 Seiki Manga Hajimete Monogatari,"Adventure, Comedy, Kids, Sci-Fi"
21-ji no Onna: Newscaster Katsuragi Miki,Hentai
2x1,Hentai
3 Choume no Tama: Uchi no Tama Shirimasenka?,Adventure
3-Nen C-Gumi 14-Ban Kubozono Chiyoko no Nyuukaku,"Music, School"
3-gatsu no Lion meets Bump of Chicken,"Drama, Music, Seinen"
3-tsu no Kumo,Dementia
30-sai no Hoken Taiiku,"Ecchi, Parody, Romance, Seinen"
30-sai no Hoken Taiiku Specials,"Ecchi, Parody, Romance, Seinen"
30th Gundam Perfect Mission,"Mecha, Sci-Fi"
3Ping Lovers!☆Ippu Nisai no Sekai e Youkoso♪ The Animation,Hentai
3x3 Eyes,"Action, Demons, Fantasy, Horror, Romance"
3x3 Eyes Seima Densetsu,"Action, Adventure, Demons, Fantasy, Horror, Romance"
4-Day Weekend,Music
44-hiki no Neko,"Kids, Music"
48x61,"Comedy, Sports"
6 Angels,"Action, Sci-Fi"
663114,Fantasy
6♥Princess,"Magic, Music"
8-gatsu no Symphony: Shibuya 2002-2003,Music
91 Days,"Action, Drama, Historical"
91 Days Recap,"Action, Drama, Historical"
A Kite,"Action, Drama, Hentai, Police"
A Piece of Phantasmagoria,"Fantasy, Kids"
A-Channel,"Comedy, School, Seinen, Slice of Life"
A-Channel+smile,"Comedy, School, Seinen, Slice of Life"
A-Channel: +A-Channel,"Comedy, School, Seinen, Slice of Life"
A-Girl,"Music, Romance, School, Shoujo"
